"","Identificacion","Familia","Departamento","Genero","Edad","Parentesco","Estado.civil","Nivel.educativo.alcanzado","Empleo.antes","Rama.actividad","tiempo.en.colombia","Horas.disponibles","ocupacion","Factor.de.expansion","Ingresos_total"
"41","4805248-1-1","4805248 - 1","13","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",375.265614208906,249120
"42","4805248-1-2","4805248 - 1","13","Femenino","(18,26]","Nucleo familiar","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",375.265614208906,810929.196
"43","4805283-1-1","4805283 - 1","13","Femenino","(59,100]","Jefe de hogar","Separado y/o viudo","Ninguno/No_sabe","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",374.321016960193,415200
"44","4805298-1-2","4805298 - 1","13","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",640.045242427494,456720
"45","4805298-1-3","4805298 - 1","13","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","No","Otras actividades de servicios","Menos de 1 año","(0,39]","No asalariado",640.045242427494,72660
"46","4805317-1-2","4805317 - 1","13","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Otras actividades de servicios","Menos de 1 año","(48,130]","No asalariado",730.700126090293,778500
"47","4805341-2-1","4805341 - 2","15","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]","Asalariado",143.571524251517,871920
"48","4805391-1-1","4805391 - 1","15","Masculino","(18,26]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Alquiler de maquinaria y equipo sin operarios","Menos de 1 año","(39,48]","No asalariado",186.896818160464,311400
"49","4805391-1-2","4805391 - 1","15","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Alquiler de maquinaria y equipo sin operarios","Menos de 1 año","(39,48]","No asalariado",186.896818160464,20760
"50","4805391-1-4","4805391 - 1","15","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","No asalariado",186.896818160464,124560
"51","4805517-1-1","4805517 - 1","17","Masculino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Administración pública y defensa","Entre 1 y 5 años","(39,48]","No asalariado",186.797046166219,2076000
"52","4805565-1-1","4805565 - 1","17","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",171.582058704938,1021392
"53","4805923-2-1","4805923 - 2","20","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(39,48]","Asalariado",136.097117329093,519000
"54","4805923-2-3","4805923 - 2","20","Masculino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","No","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",136.097117329093,181650
"55","4805935-1-1","4805935 - 1","20","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",200.669471621816,726600
"56","4805935-1-2","4805935 - 1","20","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",200.669471621816,519000
"57","4805935-1-5","4805935 - 1","20","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Básica secundaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","No asalariado",200.669471621816,415200
"58","4805935-1-6","4805935 - 1","20","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",200.669471621816,726600
"59","4805935-1-7","4805935 - 1","20","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","No asalariado",200.669471621816,622800
"60","4805935-1-9","4805935 - 1","20","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","No asalariado",200.669471621816,622800
"61","4805950-1-1","4805950 - 1","20","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",142.25180054693,934200
"62","4805950-1-2","4805950 - 1","20","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Menos de 1 año","(39,48]","No asalariado",142.25180054693,155700
"63","4805950-1-3","4805950 - 1","20","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]","Asalariado",142.25180054693,519000
"64","4805960-1-1","4805960 - 1","20","Masculino","(18,26]","Jefe de hogar","Soltero","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",240.885387422767,726600
"65","4805973-1-2","4805973 - 1","20","Masculino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",148.315156124131,415200
"66","4805973-1-4","4805973 - 1","20","Femenino","(26,59]","Otros parientes","Soltero","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",148.315156124131,519000
"67","4805974-1-1","4805974 - 1","20","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",193.90805100312,311400
"68","4805975-1-2","4805975 - 1","20","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",189.205621601666,467100
"69","4805986-1-1","4805986 - 1","20","Femenino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",193.90805100312,622800
"70","4805986-1-2","4805986 - 1","20","Masculino","(26,59]","Otros parientes","Soltero","Básica primaria","Si","Actividades complementarias/auxiliares al transporte","Menos de 1 año","(39,48]","No asalariado",193.90805100312,467100
"71","4806003-1-4","4806003 - 1","20","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","No","Construcción","Menos de 1 año","(39,48]","No asalariado",227.816261626843,498240
"72","4806003-1-6","4806003 - 1","20","Femenino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","No asalariado",227.816261626843,467100
"73","4806016-1-1","4806016 - 1","20","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","No","Actividades culturales y deportivas","Entre 1 y 5 años","(39,48]","No asalariado",165.507909411841,986100
"74","4806016-1-3","4806016 - 1","20","Femenino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",165.507909411841,726600
"75","4806091-1-3","4806091 - 1","23","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",157.468649346636,207600
"76","4806097-1-1","4806097 - 1","23","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",174.619806939836,896264.214
"77","4806163-1-1","4806163 - 1","23","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(39,48]","Asalariado",182.957212992392,778500
"78","4806163-1-2","4806163 - 1","23","Femenino","(14,18]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]","No asalariado",182.957212992392,467100
"79","4806165-1-1","4806165 - 1","23","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(39,48]","No asalariado",193.028525097819,726600
"80","4806165-1-2","4806165 - 1","23","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",193.028525097819,933632.214
"81","4806241-1-4","4806241 - 1","27","Masculino","(26,59]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]","Asalariado",31.1217217787925,934200
"82","4806455-1-1","4806455 - 1","41","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",138.491820946608,1363932
"83","4806455-1-2","4806455 - 1","41","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",138.491820946608,1363932
"84","4806528-1-1","4806528 - 1","44","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Ninguno/No_sabe","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",129.601268244099,519000
"85","4806528-1-2","4806528 - 1","44","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]","Asalariado",129.601268244099,415200
"86","4806532-1-2","4806532 - 1","44","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",137.282957169135,415200
"87","4806532-1-5","4806532 - 1","44","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]","No asalariado",137.282957169135,415200
"88","4806541-1-1","4806541 - 1","44","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(39,48]","No asalariado",203.507011539126,519000
"89","4806542-1-1","4806542 - 1","44","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",97.1774350966262,363300
"90","4806542-1-2","4806542 - 1","44","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Otras actividades empresariales","Menos de 1 año","(48,130]","No asalariado",97.1774350966262,415200
"91","4806550-1-5","4806550 - 1","44","Femenino","(18,26]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]","No asalariado",140.879017847682,467100
"92","4806580-1-3","4806580 - 1","44","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]","Asalariado",48.5887175483131,467100
"93","4806594-1-1","4806594 - 1","44","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",97.1774350966262,1245600
"94","4806594-1-2","4806594 - 1","44","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Alquiler de maquinaria y equipo sin operarios","Entre 1 y 5 años","(0,39]","No asalariado",97.1774350966262,186840
"95","4806596-1-2","4806596 - 1","44","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(0,39]","Asalariado",70.6549486401518,259500
"96","4806664-1-1","4806664 - 1","47","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]","No asalariado",101.92375079996,778500
"97","4806669-1-1","4806669 - 1","47","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",229.152505282413,622800
"98","4806669-1-2","4806669 - 1","47","Masculino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(0,39]","No asalariado",229.152505282413,311400
"99","4806696-1-1","4806696 - 1","47","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",199.714233470202,622800
"100","4806696-1-2","4806696 - 1","47","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]","Asalariado",199.714233470202,519000
"101","4806696-1-3","4806696 - 1","47","Masculino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]","Asalariado",199.714233470202,311400
"102","4806698-1-1","4806698 - 1","47","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","No asalariado",251.652125740822,249120
"103","4806698-1-6","4806698 - 1","47","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Superior o universitaria","No","Otras actividades empresariales","Entre 1 y 5 años","(0,39]","No asalariado",251.652125740822,155700
"104","4806713-1-1","4806713 - 1","47","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",112.71023953948,1245600
"105","4806713-1-6","4806713 - 1","47","Femenino","(18,26]","Otros No parientes","Soltero","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",112.71023953948,934200
"106","4806726-1-1","4806726 - 1","47","Masculino","(18,26]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]","No asalariado",223.228809245037,830400
"107","4806728-1-1","4806728 - 1","47","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",165.460776718656,934200
"108","4806728-1-2","4806728 - 1","47","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",165.460776718656,1038000
"109","4806728-1-3","4806728 - 1","47","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",165.460776718656,871920
"110","4806728-1-4","4806728 - 1","47","Femenino","(18,26]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",165.460776718656,871920
"111","4806728-1-5","4806728 - 1","47","Masculino","(18,26]","Otros No parientes","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",165.460776718656,871920
"112","4806729-1-1","4806729 - 1","47","Femenino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",130.636030296667,907212
"113","4806729-1-2","4806729 - 1","47","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Actividades culturales y deportivas","Menos de 1 año","(0,39]","No asalariado",130.636030296667,1038000
"114","4806764-1-1","4806764 - 1","47","Masculino","(14,18]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",348.667135819832,570900
"115","4806764-1-2","4806764 - 1","47","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]","No asalariado",348.667135819832,166080
"116","4806764-1-4","4806764 - 1","47","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",348.667135819832,726600
"117","4806764-1-7","4806764 - 1","47","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Básica primaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","No asalariado",348.667135819832,0
"118","4806764-1-8","4806764 - 1","47","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",348.667135819832,0
"119","4806764-1-9","4806764 - 1","47","Masculino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(0,39]","No asalariado",348.667135819832,249120
"120","4806769-1-2","4806769 - 1","47","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",232.873540770606,830400
"121","4806773-1-1","4806773 - 1","47","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]","Asalariado",155.266019938778,1006860
"122","4806773-1-2","4806773 - 1","47","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Correo y telecomunicaciones","Entre 1 y 5 años","(39,48]","Asalariado",155.266019938778,778500
"123","4806792-1-1","4806792 - 1","47","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Ninguno/No_sabe","No","Construcción","Menos de 1 año","(39,48]","No asalariado",241.591629316806,1245600
"124","4806792-1-2","4806792 - 1","47","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","No","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",241.591629316806,622800
"125","4806794-1-4","4806794 - 1","47","Femenino","(59,100]","Otros No parientes","Separado y/o viudo","Superior o universitaria","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",216.266173389309,622800
"126","4806801-1-1","4806801 - 1","47","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",87.166783954958,830400
